conv_id,utterance_idx,context,prompt,speaker_idx,utterance,ut_len,Empathy,Talker,Sentiment,Emotion,Taxonomy,Intent
hit:11054_conv:22108,1,surprised,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,675,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,95,5,1,"{'sentiment': {'negative': 0.275, 'neutral': 0.437, 'positive': 0.287}}","{'emotion': {'Happy': 0.155295802, 'Fear': 0.4464744761, 'Sad': 0.1470191662, 'Bored': 0.0219080765, 'Angry': 0.0440912977, 'Excited': 0.1852111815}}","{'taxonomy': [{'confidence_score': 0.4104728103, 'tag': 'IMPACT'}, {'confidence_score': 0.199958995, 'tag': 'EDUCATION'}, {'confidence_score': 0.1853818595, 'tag': 'POLITICS'}]}","{'intent': {'news': 0.087, 'query': 0.072, 'spam': 0.311, 'marketing': 0.052, 'feedback': {'score': 0.477, 'tag': {'complaint': 0.11, 'suggestion': 0.035, 'appreciation': 0.855}}}}"
hit:11054_conv:22108,2,surprised,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,746,Congrats!  How exciting for you.,32,5,2,"{'sentiment': {'negative': 0.005, 'neutral': 0.056, 'positive': 0.939}}","{'emotion': {'Angry': 0.0883550096, 'Sad': 0.0349955947, 'Excited': 0.1870446923, 'Bored': 0.038619849, 'Happy': 0.4874999949, 'Fear': 0.1634848596}}","{'taxonomy': [{'confidence_score': 0.3719808459, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1847059429, 'tag': 'IMPACT'}, {'confidence_score': 0.1410384923, 'tag': 'POLITICS'}]}","{'intent': {'news': 0.028, 'query': 0.112, 'spam': 0.368, 'marketing': 0.065, 'feedback': {'score': 0.426, 'tag': {'complaint': 0.001, 'suggestion': 0.003, 'appreciation': 0.996}}}}"
hit:11054_conv:22108,3,surprised,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,675,"thank you, when they called, I did not know who it was at first, then it was, wow I got the job",119,5,1,"{'sentiment': {'negative': 0.031, 'neutral': 0.122, 'positive': 0.847}}","{'emotion': {'Angry': 0.0568077244, 'Excited': 0.3520834064, 'Happy': 0.3395521848, 'Sad': 0.0398050366, 'Bored': 0.0131736383, 'Fear': 0.1985780095}}","{'taxonomy': [{'confidence_score': 0.3560346365, 'tag': 'POLITICS'}, {'confidence_score': 0.3348067403, 'tag': 'IMPACT'}, {'confidence_score': 0.1984399706, 'tag': 'ENTERTAINMENT'}]}","{'intent': {'news': 0.005, 'query': 0.013, 'spam': 0.354, 'marketing': 0.011, 'feedback': {'score': 0.616, 'tag': {'complaint': 0.003, 'suggestion': 0.002, 'appreciation': 0.995}}}}"
hit:11054_conv:22108,4,surprised,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,746,That's a long time to hold out hope.  I bet you were shocked.,61,5,2,"{'sentiment': {'negative': 0.572, 'neutral': 0.383, 'positive': 0.046}}","{'emotion': {'Angry': 0.1211754311, 'Excited': 0.1074305336, 'Fear': 0.2339460298, 'Happy': 0.2318156633, 'Sad': 0.1769579945, 'Bored': 0.1286743476}}","{'taxonomy': [{'confidence_score': 0.6219481826, 'tag': 'POLITICS'}, {'confidence_score': 0.1707850993, 'tag': 'IMPACT'}, {'confidence_score': 0.1123252288, 'tag': 'ENTERTAINMENT'}]}","{'intent': {'news': 0.018, 'query': 0.145, 'spam': 0.313, 'marketing': 0.01, 'feedback': {'score': 0.514, 'tag': {'complaint': 0.409, 'suggestion': 0.313, 'appreciation': 0.278}}}}"
hit:6194_conv:12389,1,joyful,Got a Costco cake. For myself.,1,Got a Costco cake. For myself.,30,3,1,"{'sentiment': {'negative': 0.018, 'neutral': 0.232, 'positive': 0.75}}","{'emotion': {'Happy': 0.4695486472, 'Fear': 0.173305568, 'Sad': 0.0350587229, 'Bored': 0.0159803472, 'Angry': 0.0277583428, 'Excited': 0.2783483719}}","{'taxonomy': [{'confidence_score': 0.5549823046, 'tag': 'TASTE'}, {'confidence_score': 0.2484655529, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.0904188827, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.012, 'query': 0.037, 'spam': 0.452, 'marketing': 0.196, 'feedback': 0.304}}"
hit:6194_conv:12389,2,joyful,Got a Costco cake. For myself.,126,"Oh wow, was it good",25,3,2,"{'sentiment': {'negative': 0.094, 'neutral': 0.289, 'positive': 0.618}}","{'emotion': {'Excited': 0.1377496268, 'Fear': 0.3276974279, 'Angry': 0.1136859258, 'Happy': 0.2060567378, 'Sad': 0.1386471658, 'Bored': 0.0761631158}}","{'taxonomy': [{'confidence_score': 0.4420489073, 'tag': 'POLITICS'}, {'confidence_score': 0.3602903187, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.0579655543, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.002, 'query': 0.017, 'spam': 0.697, 'marketing': 0.038, 'feedback': 0.246}}"
hit:6194_conv:12389,3,joyful,Got a Costco cake. For myself.,1,Yes. It's delicious! Now I just need to figure out how to save this thing.,74,3,1,"{'sentiment': {'negative': 0.068, 'neutral': 0.257, 'positive': 0.675}}","{'emotion': {'Angry': 0.0529626035, 'Excited': 0.1281158359, 'Fear': 0.3670458639, 'Happy': 0.3096870635, 'Sad': 0.1421886331, 'Bored': 0.0}}","{'taxonomy': [{'confidence_score': 0.9485203624, 'tag': 'TASTE'}, {'confidence_score': 0.0332672261, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.0052519972, 'tag': 'SPORTS'}]}","{'intent': {'news': 0.012, 'query': 0.433, 'spam': 0.088, 'marketing': 0.178, 'feedback': 0.29}}"
hit:6194_conv:12389,4,joyful,Got a Costco cake. For myself.,126,What kind of cake,17,3,2,"{'sentiment': {'negative': 0.054, 'neutral': 0.355, 'positive': 0.59}}","{'emotion': {'Happy': 0.0809893031, 'Fear': 0.3584745976, 'Sad': 0.2684731509, 'Bored': 0.1060419323, 'Angry': 0.1268149944, 'Excited': 0.0592060217}}","{'taxonomy': [{'confidence_score': 0.4210355282, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.2150419503, 'tag': 'TASTE'}, {'confidence_score': 0.1339397579, 'tag': 'HEALTHY LIVING'}]}","{'intent': {'news': 0.0, 'query': 0.899, 'spam': 0.061, 'marketing': 0.005, 'feedback': 0.035}}"
hit:4486_conv:8973,1,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,322,I lost my keys at the park yesterday.,37,4,1,"{'sentiment': {'negative': 0.959, 'neutral': 0.039, 'positive': 0.002}}","{'emotion': {'Excited': 0.0095252906, 'Fear': 0.1890020831, 'Angry': 0.3306889643, 'Happy': 0.0072134782, 'Sad': 0.4557321622, 'Bored': 0.0078380216}}","{'taxonomy': [{'confidence_score': 0.6606384516, 'tag': 'IMPACT'}, {'confidence_score': 0.2227148861, 'tag': 'HEALTHY LIVING'}, {'confidence_score': 0.0857464224, 'tag': 'POLITICS'}]}","{'intent': {'news': 0.005, 'query': 0.591, 'spam': 0.121, 'marketing': 0.002, 'feedback': 0.281}}"
hit:4486_conv:8973,2,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,366,Oh no! Do you have an idea what part of the park?,49,4,2,"{'sentiment': {'negative': 0.13, 'neutral': 0.84, 'positive': 0.03}}","{'emotion': {'Angry': 0.0714620944, 'Excited': 0.0339464914, 'Fear': 0.4920215456, 'Happy': 0.0445974125, 'Sad': 0.3408287452, 'Bored': 0.0171437109}}","{'taxonomy': [{'confidence_score': 0.878933847, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.040981926, 'tag': 'SPORTS'}, {'confidence_score': 0.0267004408, 'tag': 'POLITICS'}]}","{'intent': {'news': 0.0, 'query': 0.924, 'spam': 0.06, 'marketing': 0.0, 'feedback': 0.016}}"
hit:4486_conv:8973,3,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,322,"I have no clue, I'm so irritated at myself.",49,4,1,"{'sentiment': {'negative': 0.99, 'neutral': 0.01, 'positive': 0.001}}","{'emotion': {'Happy': 0.0052812882, 'Fear': 0.1380645619, 'Sad': 0.2371104932, 'Bored': 0.0426567972, 'Angry': 0.5727045238, 'Excited': 0.0041823357}}","{'taxonomy': [{'confidence_score': 0.6604534984, 'tag': 'IMPACT'}, {'confidence_score': 0.2367550284, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.0283833556, 'tag': 'HEALTHY LIVING'}]}","{'intent': {'news': 0.001, 'query': 0.14, 'spam': 0.183, 'marketing': 0.002, 'feedback': {'score': 0.674, 'tag': {'complaint': 0.99, 'suggestion': 0.003, 'appreciation': 0.006}}}}"
hit:4486_conv:8973,4,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,366,Sorry to hear that. Hopefully you can replace them soon.,56,4,2,"{'sentiment': {'negative': 0.262, 'neutral': 0.643, 'positive': 0.094}}","{'emotion': {'Excited': 0.0605075018, 'Fear': 0.142208633, 'Sad': 0.5109879204, 'Happy': 0.2345562199, 'Bored': 0.0176789753, 'Angry': 0.0340607496}}","{'taxonomy': [{'confidence_score': 0.3979517221, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.2854555547, 'tag': 'POLITICS'}, {'confidence_score': 0.0694997385, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.008, 'query': 0.316, 'spam': 0.088, 'marketing': 0.013, 'feedback': {'score': 0.575, 'tag': {'complaint': 0.076, 'suggestion': 0.65, 'appreciation': 0.275}}}}"
hit:6182_conv:12365,1,excited,We went to a rodeo last month. I was very thrilled and I enjoyed a lot!,261,We went to a rodeo last month,29,4,1,"{'sentiment': {'negative': 0.132, 'neutral': 0.605, 'positive': 0.264}}","{'emotion': {'Angry': 0.0611530796, 'Sad': 0.192623719, 'Excited': 0.2629983419, 'Bored': 0.0592639604, 'Happy': 0.1374355841, 'Fear': 0.2865253151}}","{'taxonomy': [{'confidence_score': 0.380091697, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1994366795, 'tag': 'GREEN'}, {'confidence_score': 0.1520890594, 'tag': 'TASTE'}]}","{'intent': {'news': 0.017, 'query': 0.033, 'spam': 0.751, 'marketing': 0.018, 'feedback': 0.181}}"
hit:6182_conv:12365,2,excited,We went to a rodeo last month. I was very thrilled and I enjoyed a lot!,10,How did that go?,16,4,2,"{'sentiment': {'negative': 0.111, 'neutral': 0.887, 'positive': 0.002}}","{'emotion': {'Angry': 0.097273806, 'Excited': 0.0779672525, 'Fear': 0.3308723075, 'Happy': 0.0317129896, 'Sad': 0.3636803393, 'Bored': 0.0984933051}}","{'taxonomy': [{'confidence_score': 0.6882063746, 'tag': 'IMPACT'}, {'confidence_score': 0.2561457455, 'tag': 'POLITICS'}, {'confidence_score': 0.0331320539, 'tag': 'ENTERTAINMENT'}]}","{'intent': {'news': 0.0, 'query': 0.946, 'spam': 0.046, 'marketing': 0.0, 'feedback': 0.008}}"
hit:6182_conv:12365,3,excited,We went to a rodeo last month. I was very thrilled and I enjoyed a lot!,261,It was very thrilling experience and I enjoyed a lot!,53,4,1,"{'sentiment': {'negative': 0.035, 'neutral': 0.196, 'positive': 0.769}}","{'emotion': {'Angry': 0.0327428768, 'Excited': 0.3126621536, 'Happy': 0.4236411152, 'Sad': 0.0173130699, 'Bored': 0.0180895854, 'Fear': 0.1955511991}}","{'taxonomy': [{'confidence_score': 0.4760375619, 'tag': 'POLITICS'}, {'confidence_score': 0.3201053739, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.0553299151, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.029, 'query': 0.01, 'spam': 0.334, 'marketing': 0.063, 'feedback': {'score': 0.564, 'tag': {'complaint': 0.006, 'suggestion': 0.01, 'appreciation': 0.985}}}}"
hit:6182_conv:12365,4,excited,We went to a rodeo last month. I was very thrilled and I enjoyed a lot!,10,"Good, I have never been to one at all!",44,4,2,"{'sentiment': {'negative': 0.75, 'neutral': 0.213, 'positive': 0.036}}","{'emotion': {'Excited': 0.0705015491, 'Fear': 0.2629892333, 'Angry': 0.2946829733, 'Happy': 0.1187894214, 'Sad': 0.1876317124, 'Bored': 0.0654051105}}","{'taxonomy': [{'confidence_score': 0.4779534042, 'tag': 'IMPACT'}, {'confidence_score': 0.3095835149, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1071992293, 'tag': 'POLITICS'}]}","{'intent': {'news': 0.004, 'query': 0.251, 'spam': 0.272, 'marketing': 0.011, 'feedback': {'score': 0.461, 'tag': {'complaint': 0.312, 'suggestion': 0.033, 'appreciation': 0.655}}}}"
hit:2273_conv:4546,1,proud,My son just graduated from high school in the spring. It was a long and tough road_comma_ but he made it.,243,My just graduated from high school in the spring.,49,4,1,"{'sentiment': {'negative': 0.127, 'neutral': 0.748, 'positive': 0.125}}","{'emotion': {'Angry': 0.0538125392, 'Excited': 0.2080006737, 'Fear': 0.3477087945, 'Happy': 0.1205788399, 'Sad': 0.2182637209, 'Bored': 0.0516354318}}","{'taxonomy': [{'confidence_score': 0.5754697919, 'tag': 'EDUCATION'}, {'confidence_score': 0.3244332671, 'tag': 'IMPACT'}, {'confidence_score': 0.0319412053, 'tag': 'BUSINESS'}]}","{'intent': {'news': 0.031, 'query': 0.041, 'spam': 0.666, 'marketing': 0.056, 'feedback': 0.206}}"
